"Session ID","Start Time","End Time","Command","Input Tokens","Output Tokens","Input Cost ($)","Output Cost ($)","Total Cost ($)","Call Count"
"20250226_124727","2025-02-26 12:47:27","2025-02-26 12:47:30","tests/test_replicate_streaming.py","278","167","0.000014","0.000042","0.000056","1"
"20250226_124724","2025-02-26 12:47:24","2025-02-26 12:47:30","tests/test_replicate_streaming.py","97","242","0.000005","0.000061","0.000065","1"
"20250226_125040","2025-02-26 12:50:40","2025-02-26 12:50:40","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","0","0","0","0","0","0"
"20250226_130946","2025-02-26 13:09:46","2025-02-26 13:10:31","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","4463","3166","0.000223","0.000791","0.001015","9"
"20250226_135652","2025-02-26 13:56:52","2025-02-26 13:56:53","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","0","0","0","0","0","0"
"20250226_135755","2025-02-26 13:57:55","2025-02-26 13:58:10","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","851","1058","0.000043","0.000264","0.000307","2"
"20250226_135936","2025-02-26 13:59:36","2025-02-26 14:00:21","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","5267","3091","0.000263","0.000773","0.001036","13"20250226_142445,2025-02-26 14:24:45,2025-02-26 14:28:27,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,27934,10113,0.001397,0.002528,0.003925,59
20250226_144207,2025-02-26 14:42:07,2025-02-26 14:42:10,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,222,116,0.000011,0.000029,0.000040,3
20250226_144704,2025-02-26 14:47:04,2025-02-26 14:47:08,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,222,148,0.000011,0.000037,0.000048,3
20250226_145440,2025-02-26 14:54:40,2025-02-26 14:54:46,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,2017,422,0.000101,0.000106,0.000206,4
